,x,y,z
Cerebelum_7b_L,-31.585616438356162,-61.078767123287676,-46.763698630136986
Cerebelum_7b_R,33.928838951310865,-64.40823970037454,-49.760299625468164
Cerebelum_8_L,-25.029146793852675,-55.77106518282989,-49.05458399576047
Cerebelum_8_R,25.77296360485269,-57.63084922010398,-50.79809358752166
Cerebelum_9_L,-10.324449594438008,-50.162224797219,-47.251448435689454
Cerebelum_9_R,10.190358467243513,-50.75154511742892,-47.62422744128554
Cerebelum_10_L,-21.79166666666667,-35.0,-43.06944444444444
Cerebelum_10_R,26.80503144654088,-35.01886792452831,-42.64150943396226
Vermis_1_2,-2.3636363636363598,-40.90909090909091,-21.81818181818182
Vermis_3,-2.0,-41.282051282051285,-13.333333333333336
Vermis_4_5,-2.225165562913901,-53.45695364238411,-7.615894039735096
Vermis_6,-2.2409638554216826,-68.24096385542168,-16.16867469879518
Vermis_7,-2.473684210526315,-71.63157894736841,-26.842105263157897
Vermis_8,-2.1568627450980387,-65.13725490196079,-34.94117647058823
Vermis_9,-2.631578947368425,-56.89473684210526,-35.31578947368421
Vermis_10,-2.642857142857139,-46.85714285714286,-33.0
